date;signal;ticker;num;price
2014.06.04;BUY;AAPL;115;92.12
2015.04.15;BUY;AAPL;85;126.78
2016.01.15;SELL;AAPL;111;97.13
2015.10.02;SELL;AAPL;100;110.38
2016.03.01;SELL;AAPL;107;100.53
2016.11.11;SELL;AAPL;102;108.43
2013.08.30;BUY;AAPL;149;69.6
2015.10.27;BUY;AAPL;98;114.55
2014.08.06;BUY;AAPL;113;94.96
2016.09.28;BUY;AAPL;96;113.95
2013.09.05;BUY;AAPL;148;70.75
2016.05.06;BUY;AAPL;113;92.72
2016.06.23;SELL;AAPL;110;96.1
2016.07.11;BUY;AAPL;109;96.98
2015.08.14;SELL;AAPL;94;115.96
2014.06.05;BUY;AAPL;115;92.48
2013.03.22;SELL;AAPL;153;65.99
2013.09.09;BUY;AAPL;143;72.31
2014.09.03;SELL;AAPL;110;98.94
2014.02.18;BUY;AAPL;134;78.0
2015.03.13;BUY;AAPL;87;123.59
2016.06.02;BUY;AAPL;108;97.72
2015.12.07;BUY;AAPL;92;118.28
2016.10.11;SELL;AAPL;95;116.3
2016.08.23;BUY;AAPL;98;108.85
2013.03.25;SELL;AAPL;153;66.23
2013.09.03;BUY;AAPL;149;69.8
2014.12.10;BUY;AAPL;96;111.95
2014.07.01;BUY;AAPL;116;93.52
2014.08.21;BUY;AAPL;108;100.58
2014.03.27;BUY;AAPL;136;76.78
2013.09.19;BUY;AAPL;152;67.47
2015.03.17;BUY;AAPL;85;127.04
2014.08.27;BUY;AAPL;106;102.13
2013.08.23;BUY;AAPL;146;71.57
2014.07.28;BUY;AAPL;110;99.02
2014.03.07;BUY;AAPL;138;75.78
2016.04.28;SELL;AAPL;110;94.83
2014.07.02;BUY;AAPL;116;93.48
2016.05.18;BUY;AAPL;111;94.56
2016.10.04;BUY;AAPL;97;113.0
2015.08.20;BUY;AAPL;96;112.65
2014.04.08;SELL;AAPL;141;74.78
2014.05.09;SELL;AAPL;127;83.65
2015.10.12;SELL;AAPL;99;111.6
2014.08.14;BUY;AAPL;110;97.5
2015.04.07;BUY;AAPL;85;126.01
2016.10.28;SELL;AAPL;96;113.72
2015.07.28;BUY;AAPL;87;123.38
2015.07.27;SELL;AAPL;87;122.77
2015.05.20;BUY;AAPL;84;130.06
2016.02.22;SELL;AAPL;109;96.88
2016.10.25;BUY;AAPL;93;118.25
2015.07.07;SELL;AAPL;86;125.69
2014.02.06;BUY;AAPL;142;73.22
2016.01.20;SELL;AAPL;110;96.79
2015.03.19;BUY;AAPL;84;127.5
2014.04.07;SELL;AAPL;141;74.78
2016.06.30;BUY;AAPL;110;95.6
2013.11.05;BUY;AAPL;138;75.06
2015.02.09;BUY;AAPL;90;119.72
2014.04.24;SELL;AAPL;132;81.11
2014.12.26;BUY;AAPL;95;113.99
2015.01.08;BUY;AAPL;97;111.89
2014.05.08;BUY;AAPL;127;84.0
2015.04.09;BUY;AAPL;85;126.56
2016.04.20;BUY;AAPL;101;107.13
2015.10.05;SELL;AAPL;100;110.78
2016.06.09;SELL;AAPL;106;99.65
2015.06.16;BUY;AAPL;85;127.6
2016.04.06;BUY;AAPL;98;110.96
2014.09.10;BUY;AAPL;109;101.0
2013.11.21;BUY;AAPL;139;74.45
2014.01.24;BUY;AAPL;136;78.01
2015.09.08;BUY;AAPL;97;112.31
2013.11.06;BUY;AAPL;139;74.42
2014.11.13;BUY;AAPL;96;112.82
2015.10.14;BUY;AAPL;100;110.21
2014.09.18;BUY;AAPL;108;101.79
2016.01.07;SELL;AAPL;111;96.45
2015.01.09;BUY;AAPL;96;112.01
2014.11.14;BUY;AAPL;95;114.18
2016.01.13;SELL;AAPL;110;97.39
2013.12.12;BUY;AAPL;132;80.08
2016.08.08;BUY;AAPL;99;108.37
2014.06.06;BUY;AAPL;116;92.22
2016.02.23;SELL;AAPL;112;94.69
2013.11.11;SELL;AAPL;139;74.15
2015.01.29;BUY;AAPL;91;118.9
2016.08.02;SELL;AAPL;103;104.48
2014.06.18;SELL;AAPL;116;92.18
2015.07.30;SELL;AAPL;87;122.37
2014.11.18;BUY;AAPL;95;115.47
2015.11.11;BUY;AAPL;96;116.11
2014.04.23;SELL;AAPL;144;74.96
2014.12.12;BUY;AAPL;97;109.73
2014.02.04;SELL;AAPL;143;72.68
2015.10.19;BUY;AAPL;100;111.73
2014.08.18;BUY;AAPL;109;99.16
2015.05.15;BUY;AAPL;84;128.77
2015.09.28;BUY;AAPL;98;112.44
2013.10.21;BUY;AAPL;139;74.48
2013.09.12;BUY;AAPL;151;67.53
2015.12.28;BUY;AAPL;100;106.82
2016.05.19;BUY;AAPL;112;94.2
2014.03.18;BUY;AAPL;137;75.91
2014.12.09;BUY;AAPL;95;114.12
2013.05.20;SELL;AAPL;159;63.28
2014.09.29;BUY;AAPL;110;100.11
2015.01.22;BUY;AAPL;96;112.4
2014.08.19;BUY;AAPL;108;100.53
2016.07.14;SELL;AAPL;107;98.79
2015.04.06;BUY;AAPL;84;127.35
2016.10.18;BUY;AAPL;94;117.47
2016.07.05;BUY;AAPL;111;94.99
2016.07.07;BUY;AAPL;110;95.94
2015.04.17;BUY;AAPL;86;124.75
2014.01.02;BUY;AAPL;135;79.02
2016.10.31;SELL;AAPL;97;113.54
2013.12.26;SELL;AAPL;132;80.56
